squad,comp,avgpossessionperc
AVS Futebol,Primeira Liga,44
AZ Alkmaar,Eredivisie,52.7
Ajax,Eredivisie,57.6
AlavÃ©s,La Liga,45.3
Aldosivi,Liga Prof. Argentina,46.8
Almere City,Eredivisie,42.9
AmÃ©rica,Liga MX,56.7
Anderlecht,Belgian Pro League,56.8
Angers,Ligue 1,41.2
Antwerp,Belgian Pro League,53.3
Arg Juniors,Liga Prof. Argentina,62.1
Arouca,Primeira Liga,52.3
Arsenal,PL,56.9
Aston Villa,PL,50.5
Atalanta,Serie A,55.3
Athletic Club,La Liga,48.4
Atlanta Utd,MLS,50.8
Atlas,Liga MX,46.2
AtlÃ© TucumÃ¡n,Liga Prof. Argentina,50.9
AtlÃ©tico,Liga MX,52.9
AtlÃ©tico Madrid,La Liga,52.6
AtlÃ©tico Mineiro,Brazil Serie A,56.9
Augsburg,Bundesliga,44.3
Austin,MLS,46.3
Auxerre,Ligue 1,42.5
Bahia,Brazil Serie A,52.2
Banfield,Liga Prof. Argentina,44.2
Barcelona,La Liga,68.3
Bari,Serie B,50.6
Barracas Central,Liga Prof. Argentina,38.9
Bayern Munich,Bundesliga,67.9
Beerschot,Belgian Pro League,48.3
Belgrano,Liga Prof. Argentina,49
Benfica,Primeira Liga,58
Betis,La Liga,52.4
Blackburn,Championship,49.1
Boavista,Primeira Liga,40.3
Boca Juniors,Liga Prof. Argentina,56.1
Bochum,Bundesliga,45.5
Bologna,Serie A,58.1
Botafogo (RJ),Brazil Serie A,50.8
Bournemouth,PL,48.5
Braga,Primeira Liga,56.8
Brentford,PL,47.9
Brescia,Serie B,46.6
Brest,Ligue 1,48.4
Brighton,PL,52.3
Bristol City,Championship,51
Burnley,Championship,56.6
CF MontrÃ©al,MLS,50.4
Cagliari,Serie A,44.9
Cardiff City,Championship,46.8
Carrarese,Serie B,49.1
Casa Pia,Primeira Liga,46.7
Catanzaro,Serie B,55.1
CearÃ¡,Brazil Serie A,40.7
Celta Vigo,La Liga,53.6
Cen. CÃ³rdobaâ€“SdE,Liga Prof. Argentina,52.8
Cercle Brugge,Belgian Pro League,45.7
Cesena,Serie B,48.7
Charleroi,Belgian Pro League,52.9
Charlotte,MLS,48.8
Chelsea,PL,57.1
Chicago Fire,MLS,46.8
Cittadella,Serie B,45.2
Club Brugge,Belgian Pro League,58.8
Colorado Rapids,MLS,44.9
Columbus Crew,MLS,59.8
Como,Serie A,54.6
Corinthians,Brazil Serie A,59.2
Cosenza,Serie B,48.9
Coventry City,Championship,54.3
Cremonese,Serie B,59.2
Cruz Azul,Liga MX,57.2
Cruzeiro,Brazil Serie A,45.2
Crystal Palace,PL,42.8
D.C. United,MLS,49.3
Defensa y Just,Liga Prof. Argentina,51.8
Dender,Belgian Pro League,43
Deportivo Riestra,Liga Prof. Argentina,31.5
Derby County,Championship,43.8
Dortmund,Bundesliga,58.9
Eint Frankfurt,Bundesliga,49.7
Empoli,Serie A,41.7
Espanyol,La Liga,39.8
Estoril,Primeira Liga,48.9
Estrela,Primeira Liga,44.8
Estudiantesâ€“LP,Liga Prof. Argentina,54.5
Everton,PL,40.9
FC Cincinnati,MLS,51.9
FC Dallas,MLS,44.5
FC JuÃ¡rez,Liga MX,47
FamalicÃ£o,Primeira Liga,50.4
Farense,Primeira Liga,41.3
Feyenoord,Eredivisie,57.3
Fiorentina,Serie A,50.4
Flamengo,Brazil Serie A,60.4
Fluminense,Brazil Serie A,56.1
Fortaleza,Brazil Serie A,45.3
Fortuna Sittard,Eredivisie,44.4
Freiburg,Bundesliga,48.7
Frosinone,Serie B,46.9
Fulham,PL,52.3
Genk,Belgian Pro League,59
Genoa,Serie A,45.6
Gent,Belgian Pro League,52.2
Getafe,La Liga,41.8
Gil Vicente FC,Primeira Liga,50.6
Gimnasiaâ€“LP,Liga Prof. Argentina,48.4
Girona,La Liga,56.3
Gladbach,Bundesliga,49.6
Go Ahead Eag,Eredivisie,51.4
Godoy Cruz,Liga Prof. Argentina,47.8
Groningen,Eredivisie,46.9
GrÃªmio,Brazil Serie A,43.5
Guadalajara,Liga MX,51.7
Heerenveen,Eredivisie,53.2
Heidenheim,Bundesliga,43.5
Hellas Verona,Serie A,38.7
Heracles Almelo,Eredivisie,45.4
Hoffenheim,Bundesliga,48.7
Holstein Kiel,Bundesliga,43.6
Houston Dynamo,MLS,51.4
Hull City,Championship,50
HuracÃ¡n,Liga Prof. Argentina,51.1
Ind. Rivadavia,Liga Prof. Argentina,46.1
Independiente,Liga Prof. Argentina,58.8
Instituto,Liga Prof. Argentina,49.8
Inter,Serie A,59.7
Inter Miami,MLS,55.8
Internacional,Brazil Serie A,54.5
Ipswich Town,PL,40.6
Juve Stabia,Serie B,52.5
Juventude,Brazil Serie A,45.6
Juventus,Serie A,57.2
Kortrijk,Belgian Pro League,43
LA Galaxy,MLS,51.7
LAFC,MLS,53.1
LanÃºs,Liga Prof. Argentina,51.6
Las Palmas,La Liga,50.7
Lazio,Serie A,55.1
Le Havre,Ligue 1,43.1
Lecce,Serie A,43.8
Leeds United,Championship,61.3
LeganÃ©s,La Liga,42.6
Leicester City,PL,45.4
Lens,Ligue 1,54.1
Leverkusen,Bundesliga,59.2
LeÃ³n,Liga MX,49.2
Lille,Ligue 1,57.6
Liverpool,PL,57.7
Luton Town,Championship,45.2
Lyon,Ligue 1,56.4
Mainz 05,Bundesliga,50.4
Mallorca,La Liga,46.8
Manchester City,PL,61.3
Manchester Utd,PL,53.5
Mantova,Serie B,61.5
Marseille,Ligue 1,63.3
MazatlÃ¡n,Liga MX,46.7
Mechelen,Belgian Pro League,53.1
Middlesbrough,Championship,55.4
Milan,Serie A,53.9
Millwall,Championship,43
Minnesota Utd,MLS,38.2
Mirassol,Brazil Serie A,47.2
Modena,Serie B,48.7
Monaco,Ligue 1,55
Monterrey,Liga MX,55.6
Montpellier,Ligue 1,45.3
Monza,Serie A,48.5
Moreirense,Primeira Liga,47.5
NAC Breda,Eredivisie,45
NE Revolution,MLS,48.9
NEC Nijmegen,Eredivisie,48.6
NY Red Bulls,MLS,51.6
NYCFC,MLS,53
Nacional,Primeira Liga,47.5
Nantes,Ligue 1,40.4
Napoli,Serie A,54.6
Nashville SC,MLS,50.2
Necaxa,Liga MX,43.9
Newcastle Utd,PL,51.3
Newell's OB,Liga Prof. Argentina,44.6
Nice,Ligue 1,47.5
Norwich City,Championship,57.8
Nott'ham Forest,PL,41.2
OH Leuven,Belgian Pro League,48.4
Orlando City,MLS,46.7
Osasuna,La Liga,46.1
Oxford United,Championship,43.6
PSV Eindhoven,Eredivisie,67.5
Pachuca,Liga MX,50.8
Palermo,Serie B,49.4
Palmeiras,Brazil Serie A,49.7
Paris S-G,Ligue 1,68
Parma,Serie A,44.2
Philadelphia Union,MLS,47.7
Pisa,Serie B,46.2
Platense,Liga Prof. Argentina,43.8
Plymouth Argyle,Championship,42.4
Portland Timbers,MLS,50.1
Porto,Primeira Liga,61.7
Portsmouth,Championship,45.1
Preston,Championship,48.3
Puebla,Liga MX,39.3
QPR,Championship,46.5
QuerÃ©taro,Liga MX,39.7
RB Bragantino,Brazil Serie A,47.5
RB Leipzig,Bundesliga,52.2
RKC Waalwijk,Eredivisie,43.9
Racing Club,Liga Prof. Argentina,52.1
Rayo Vallecano,La Liga,51.7
Real Madrid,La Liga,60.4
Real Salt Lake,MLS,51.8
Real Sociedad,La Liga,53.8
Reggiana,Serie B,44.8
Reims,Ligue 1,44.1
Rennes,Ligue 1,50.9
Rio Ave,Primeira Liga,47.8
River Plate,Liga Prof. Argentina,63.9
Roma,Serie A,53.9
Rosario Central,Liga Prof. Argentina,50.8
SJ Earthquakes,MLS,48.6
Saint-Ã‰tienne,Ligue 1,47.1
Salernitana,Serie B,51.3
Sampdoria,Serie B,48.2
San Diego FC,MLS,59.5
San Lorenzo,Liga Prof. Argentina,49.6
San MartÃ­n de San Juan,Liga Prof. Argentina,45.6
Santa Clara,Primeira Liga,44.6
Santos,Brazil Serie A,48.1
Santos,Liga MX,47.9
Sarmiento,Liga Prof. Argentina,44.8
Sassuolo,Serie B,52.2
Seattle Sounders,MLS,53.9
Sevilla,La Liga,50.5
Sheffield Utd,Championship,51.4
Sheffield Weds,Championship,48.2
Sint-Truiden,Belgian Pro League,47.3
Southampton,PL,48.5
Sparta R'dam,Eredivisie,48.9
Spezia,Serie B,50.9
Sport Recife,Brazil Serie A,48.5
Sporting CP,Primeira Liga,60.1
Sporting KC,MLS,48.4
St. Louis,MLS,43.9
St. Pauli,Bundesliga,44.2
Standard LiÃ¨ge,Belgian Pro League,40.9
Stoke City,Championship,46.9
Strasbourg,Ligue 1,50.1
Stuttgart,Bundesliga,57.2
Sunderland,Championship,49.1
Swansea City,Championship,57.6
SÃ£o Paulo,Brazil Serie A,50.5
SÃ¼dtirol,Serie B,43.9
Talleres,Liga Prof. Argentina,57.7
Tigre,Liga Prof. Argentina,44.8
Tijuana,Liga MX,58.2
Toluca,Liga MX,53.8
Torino,Serie A,47.5
Toronto FC,MLS,46.8
Tottenham,PL,54.7
Toulouse,Ligue 1,45
Twente,Eredivisie,53.3
UANL,Liga MX,53.6
UNAM,Liga MX,49.6
Udinese,Serie A,47.2
Union Berlin,Bundesliga,40
Union SG,Belgian Pro League,50.3
UniÃ³n,Liga Prof. Argentina,55.2
Utrecht,Eredivisie,46.6
Valencia,La Liga,48.4
Valladolid,La Liga,42.8
Vancouver W'caps,MLS,55.8
Vasco da Gama,Brazil Serie A,52.3
Venezia,Serie A,45.1
Villarreal,La Liga,47.6
VitÃ³ria,Brazil Serie A,45.6
VitÃ³ria,Primeira Liga,56.7
VÃ©lez Sarsfield,Liga Prof. Argentina,55.1
Watford,Championship,52.4
Werder Bremen,Bundesliga,50
West Brom,Championship,54.1
West Ham,PL,48.4
Westerlo,Belgian Pro League,47.2
Willem II,Eredivisie,44
Wolfsburg,Bundesliga,46.1
Wolves,PL,48.1
Zwolle,Eredivisie,50.2
